,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
1901,322000,1959.0,1128.0,3.0,2.0,285.0,2,200.0,"6353 S Narragansett Ave, Chicago, IL 60638",14,4625.0,0,0,1,0
1904,419770,1950.0,1560.0,3.0,1.5,269.0,2,348.0,"6022 N Saint Louis Ave, Chicago, IL 60659",33,3751.0,0,0,1,0
1906,349900,1932.0,1136.0,5.0,1.5,308.0,1,171.0,"6135 W Fletcher St, Chicago, IL 60634",34,3750.0,0,0,1,0
1908,225000,1985.0,650.0,1.0,1.0,346.0,1,390.0,"1122 N Clark St Apt 1707, Chicago, IL 60610",33,650.0,1,0,0,0
1909,305000,1911.0,900.0,2.0,1.0,339.0,0,294.0,"1509 W Cornelia Ave Apt 1, Chicago, IL 60657",33,900.0,1,0,0,0
1913,349000,1949.0,1100.0,2.0,1.0,317.0,1,288.0,"5458 N Lovejoy Ave, Chicago, IL 60630",33,3123.0,0,0,1,0
1914,579000,1969.0,1320.0,2.0,2.0,439.0,1,1050.0,"175 E Delaware Pl Apt 5410, Chicago, IL 60611",33,1320.0,1,0,0,0
1916,433990,1959.0,2800.0,3.0,2.5,155.0,2,250.0,"7354 W Bryn Mawr Ave, Chicago, IL 60631",137,4748.0,0,0,1,0
1920,450000,1930.0,1300.0,2.0,1.0,346.0,1,562.0,"843 W Adams St Apt 501, Chicago, IL 60607",178,1300.0,1,0,0,0
1923,425000,1959.0,1875.0,4.0,2.0,227.0,0,305.0,"4831 N Nordica Ave, Chicago, IL 60656",24,5000.0,0,0,1,0
1930,340000,1915.0,1078.0,4.0,3.0,315.0,2,288.0,"5122 W Windsor Ave, Chicago, IL 60630",89,4373.0,0,0,1,0
1935,199900,1958.0,800.0,1.0,1.0,250.0,0,950.0,"33 E Cedar St Apt 5A, Chicago, IL 60611",14,800.0,1,0,0,0
1936,320000,1968.0,1222.0,3.0,1.5,262.0,2,368.0,"8500 S Keeler Ave, Chicago, IL 60652",84,5149.0,0,0,1,0
1937,349900,1928.0,2300.0,4.0,2.5,152.0,3,350.0,"6540 N Talman Ave, Chicago, IL 60645",137,4125.0,0,0,1,0
1938,499000,1929.0,2047.0,4.0,2.0,244.0,2,244.0,"9951 S Leavitt St, Chicago, IL 60643",54,6874.0,0,0,1,0
1940,124999,1938.0,895.0,2.0,2.0,140.0,2,551.1388379204893,"10215 S Indiana Ave, Chicago, IL 60628",56,3751.0,0,0,1,0
1942,299900,2004.0,1200.0,2.0,2.0,250.0,1,861.0,"1101 S State St Unit H502, Chicago, IL 60605",28,1200.0,1,0,0,0
1943,236900,1917.0,1874.0,4.0,3.0,126.0,2,551.1388379204893,"7954 S Yale Ave, Chicago, IL 60620",68,4339.0,0,0,1,0
1945,329999,1925.0,3125.0,5.0,3.0,106.0,0,125.0,"7002 S Rockwell St, Chicago, IL 60629",146,3125.0,0,1,0,0
1947,175000,1947.0,1562.0,4.0,2.0,112.0,2,551.1388379204893,"12658 S Emerald Ave, Chicago, IL 60628",40,4304.0,0,0,1,0
1950,459900,1930.0,3441.0,3.0,2.0,134.0,2,288.0,"4626 N Lavergne Ave, Chicago, IL 60630",117,3441.0,0,0,1,0
1952,289900,1962.0,1100.0,4.0,1.5,264.0,2,368.0,"3349 W 85th St, Chicago, IL 60652",4,3125.0,0,0,1,0
1954,320000,1968.0,1250.0,2.0,2.0,256.0,2,966.0,"2626 N Lakeview Ave Apt 4201, Chicago, IL 60614",180,1250.0,1,0,0,0
1957,84900,1939.0,1057.0,2.0,1.0,80.0,2,244.0,"12233 S Sangamon St, Chicago, IL 60643",36,4687.0,0,0,1,0
1958,69900,1895.0,2000.0,5.0,2.0,35.0,0,551.1388379204893,"11739 S Harvard Ave, Chicago, IL 60628",35,4613.0,0,0,1,0
1959,299900,2009.0,2000.0,4.0,3.0,150.0,2,160.0,"5354 W Hanson Ave, Chicago, IL 60639",35,3125.0,0,0,0,1
1961,185000,2005.0,1140.0,2.0,2.0,162.0,1,100.0,"919 S Kedzie Ave Unit 1, Chicago, IL 60612",35,1140.0,1,0,0,0
